handle,item_code,category,name,fob_usd,landed_thb,retail_thb,retail_usd,retail_eur,source_pricelist
designpark-boa12-05,BOA12-05,Play (Dry),Blue Sky Original,33930.0,1794814.74,2761253.45,82943.19,71343.21,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row22
designpark-boa12-06,BOA12-06,Play (Dry),Blue Sky Original,28540.0,1509696.81,2322610.48,69767.13,60009.88,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row23
designpark-boa12-07,BOA12-07,Play (Dry),Blue Sky Original,33690.0,1782119.33,2741722.05,82356.5,70838.58,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row24
designpark-boa12-08,BOA12-08,Play (Dry),Blue Sky Original,35660.0,1886327.55,2902042.38,87172.24,74980.81,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row25
designpark-boa12-09,BOA12-09,Play (Dry),Blue Sky Original,42780.0,2262958.28,3481474.28,104577.36,89951.74,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row26
designpark-boa12-10,BOA12-10,Play (Dry),Blue Sky Original,56240.0,2974959.65,4576861.0,137480.84,118253.53,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row27
designpark-boa12-11,BOA12-11,Play (Dry),Blue Sky Original,9870.0,522099.07,803229.34,24127.59,20753.24,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row28
designpark-boa12-12,BOA12-12,Play (Dry),Blue Sky Original,12720.0,672857.15,1035164.85,31094.53,26745.82,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row29
designpark-boa12-13,BOA12-13,Play (Dry),Blue Sky Original,13860.0,733160.39,1127939.06,33881.3,29142.85,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row30
designpark-bka12-01,BKA12-01,Play (Dry),Blue Sky Kids,4640.0,245444.75,377607.31,11342.66,9756.34,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row31
designpark-bka12-02,BKA12-02,Play (Dry),Blue Sky Kids,6750.0,357058.64,549320.98,16500.63,14192.95,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row32
designpark-bka12-03,BKA12-03,Play (Dry),Blue Sky Kids,7300.0,386152.3,594080.46,17845.13,15349.41,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row33
designpark-bka12-04,BKA12-04,Play (Dry),Blue Sky Kids,14470.0,765427.92,1177581.42,35372.47,30425.47,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row34
designpark-bka12-05,BKA12-05,Play (Dry),Blue Sky Kids,11220.0,593510.8,913093.54,27427.72,23591.83,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row35
designpark-bka12-06,BKA12-06,Play (Dry),Blue Sky Kids,12580.0,665451.5,1023771.54,30752.29,26451.45,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row36
designpark-bka12-07,BKA12-07,Play (Dry),Blue Sky Kids,20420.0,1080168.49,1661797.68,49917.48,42936.29,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row37
designpark-bka12-08,BKA12-08,Play (Dry),Blue Sky Kids,24370.0,1289113.92,1983252.18,59573.4,51241.79,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row38
designpark-bka12-09,BKA12-09,Play (Dry),Blue Sky Kids,24230.0,1281708.25,1971858.85,59231.17,50947.42,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row39
designpark-bka12-10,BKA12-10,Play (Dry),Blue Sky Kids,24700.0,1306570.12,2010107.88,60380.1,51935.67,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row40
designpark-bta16-01,BTA16-01,Play (Dry),Cooking House,71350.0,3774242.02,5806526.18,174417.82,150024.71,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row41
designpark-bta16-04,BTA16-04,Play (Dry),Squrrel,27060.0,1431408.4,2202166.77,66149.21,56897.95,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row42
designpark-bta17-05,BTA17-05,Play (Dry),Apple and Hut,104260.0,5515101.24,8484771.14,254867.58,219223.21,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row43
designpark-bta17-06,BTA17-06,Play (Dry),Children on the beach,116460.0,6160451.65,9477617.92,284690.95,244875.64,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row44
