item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb,note,family,family_discount,recommended_nok,net_nok,description
JS3 LF,2750.4810704,True,airfreight_weight,0.0,airfreight_weight,154171.35,152831.05,0.45,floored,235661.92,6609.49,5697.42,8459.57,5000,11238.83,8653.9,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,42256.0,29579.2,Jumpstone™ obstacle cource for loose fills  | incl mounting bracket for 30 cm depth
JS5,3356.9329857,True,airfreight_weight,0.0,airfreight_weight,188164.5,180700.05,0.45,floored,287622.88,8066.81,6953.65,10324.81,5000,13606.63,10477.11,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,51573.0,36101.1,Jumpstone™ obstacle cource for wet pour surfaces (5)
JS5 AG,3809.6401951999997,True,airfreight_weight,0.0,airfreight_weight,213539.88,201503.83,0.45,floored,326410.96,9154.68,7891.4,11717.19,5000,15374.16,11838.1,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,58528.0,40969.6,Jumpstone™ obstacle cource for artificial grass | incl. PETG  mounting ring
JS5 G,4084.1285205,True,airfreight_weight,0.0,airfreight_weight,228925.63,214117.71,0.45,floored,349929.18,9814.29,8459.98,12561.42,5000,16445.85,12663.31,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,62745.0,43921.5,"Jumpstone™ obstacle cource for grass | incl mounting bracket for 21,5 cm depth"
JS5 LF,4084.1285205,True,airfreight_weight,0.0,airfreight_weight,228925.63,214117.71,0.45,floored,349929.18,9814.29,8459.98,12561.42,5000,16445.85,12663.31,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,62745.0,43921.5,Jumpstone™ obstacle cource for loose fills  | incl mounting bracket for 30 cm depth
BB216R,1337.8783586,True,airfreight_weight,0.0,airfreight_weight,88104.4,88104.4,0.7035,,134673.87,3777.13,3255.91,4834.39,5160.0,5739.54,4419.45,air 43.0kg,"Balance beam, with shock absorbing natural rubber padding",0.3,20554.0,14387.8,BalanceBuddy™ 216 straight | Length 216 cm. for installation in wet pour surfaces and artificial grass.
BB216R EXT,1467.4092495999998,True,airfreight_weight,0.0,airfreight_weight,94056.89,94056.89,0.6581,,143772.67,4032.32,3475.89,5161.01,5160.0,6245.27,4808.86,air 43.0kg,"Balance beam, with shock absorbing natural rubber padding",0.3,22544.0,15780.8,"BalanceBuddy™ 216 straight, extended | Length 216 cm. for installation in grass and loose fills."
BB216S,1337.8783586,True,airfreight_weight,0.0,airfreight_weight,88104.4,88104.4,0.7035,,134673.87,3777.13,3255.91,4834.39,5160.0,5739.54,4419.45,air 43.0kg,"Balance beam, with shock absorbing natural rubber padding",0.3,20554.0,14387.8,BalanceBuddy™ 216 slanted | Length 216 cm. for installation in wet pour surfaces and artificial grass.
BB316R,1755.501573,True,airfreight_weight,0.0,airfreight_weight,108579.6,107295.92,0.6,floored,165971.67,4654.92,4012.58,5957.89,5160.0,7370.09,5674.97,air 43.0kg,"Balance beam, with shock absorbing natural rubber padding",0.3,26970.0,18879.0,BalanceBuddy™ 316 straight | Length 316 cm. for installation in wet pour surfaces and artificial grass.
BB316R EXT,1885.032464,True,airfreight_weight,0.0,airfreight_weight,116591.22,113248.41,0.6,floored,178218.01,4998.39,4308.65,6397.5,5160.0,7875.82,6064.38,air 43.0kg,"Balance beam, with shock absorbing natural rubber padding",0.3,28960.0,20272.0,"BalanceBuddy™ 316 straight, extended | Length 316 cm. for installation in grass and loose fills."
BB316S,1755.501573,True,airfreight_weight,0.0,airfreight_weight,108579.6,107295.92,0.6,floored,165971.67,4654.92,4012.58,5957.89,5160.0,7370.09,5674.97,air 43.0kg,"Balance beam, with shock absorbing natural rubber padding",0.3,26970.0,18879.0,BalanceBuddy™ 316 slanted | Length 316 cm. for installation in wet pour surfaces and artificial grass.
BB316W,2161.4735163,True,airfreight_weight,0.0,airfreight_weight,125952.02,125952.02,0.5074,,192526.66,5399.7,4654.58,6911.14,5160.0,8955.14,6895.46,air 43.0kg,"Zig-Zag balance beam, with shock absorbing natural rubber padding",0.3,33207.0,23244.9,BalanceBuddy Wave™  | Balance beam
BB316W LF,2299.5964061,True,airfreight_weight,0.0,airfreight_weight,132299.35,132299.35,0.4883,,202229.01,5671.82,4889.14,7259.42,5160.0,9494.42,7310.71,air 43.0kg,"Zig-Zag balance beam, with shock absorbing natural rubber padding",0.3,35329.0,24730.3,BalanceBuddy Wave™ | Balance beam loose fills
F3 1002,1852.1615595,True,airfreight_weight,0.0,airfreight_weight,114558.12,111549.53,0.6,floored,175110.27,4911.23,4233.51,6285.94,5000,7731.48,5953.24,air 33.0kg,Climbing mushrooms,0.3,28455.0,19918.5,Fungi™ 3 | Climbing mushroom with 3 stems
