handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-k4-05a-65uv,K4-05A-65UV,3D Elephant,3D,K-3D animals,each,1649.0,1319.2,0.3572,dims_scaled,98828.23,98828.23,0.9363,,176243.68,4953.2,4257.37,6332.93,15000,6654.9,5124.28
4soft-k5-01a-01,K5-01A-01,3D Ladybird,3D,K-3D animals,each,936.0,748.8,0.0766,dims_scaled,72594.14,72594.14,1.5058,,129459.55,3638.37,3127.24,4651.84,15000,4426.01,3408.03
4soft-k5-01b-01,K5-01B-01,"3D Ladybird ""PLAY"" with holes",3D,K-3D animals,each,1024.0,819.2,0.0,flat_uplift,50710.58,50360.35,0.6,floored,90433.87,2541.58,2184.53,3249.54,11092.938752000002,4278.7,3294.6
4soft-k5-01c-01,K5-01C-01,3D Ladybird MINI,3D,K-3D animals,each,630.0,504.0,0.0,flat_uplift,31198.89,30983.42,0.6,floored,55638.02,1563.67,1344.0,1999.23,6824.757240000003,2632.41,2026.95
4soft-k5-02a-50uv,K5-02A-50UV,3D Caterpillar - 2 (SET with numbers 1-6) - UV colours,3D,K-3D animals,each,2137.0,1709.6,0.0,flat_uplift,105828.62,105097.74,0.6,floored,188727.71,5304.05,4558.93,6781.51,23150.00987600001,8929.29,6875.55
4soft-k5-02a-70uv,K5-02A-70UV,3D Caterpillar - 1 (SET with numbers 1-6) - UV colours,3D,K-3D animals,each,2137.0,1709.6,0.1125,dims_scaled,116783.67,116783.67,0.7656,,208264.21,5853.11,5030.86,7483.51,15000,8180.43,6298.93
4soft-k5-02b-03,K5-02B-03,3D Caterpillar head - earth yellow,3D,K-3D animals,each,503.0,402.4,0.0,flat_uplift,28023.29,24737.57,0.8,floored,49974.87,1404.51,1207.2,1795.74,5448.972844000002,2101.75,1618.35
4soft-k5-02b-50uv,K5-02B-50UV,3D Caterpillar head - UV colours,3D,K-3D animals,each,572.0,457.6,0.0,flat_uplift,31867.44,28130.98,0.8,floored,56830.27,1597.17,1372.8,2042.07,6196.446256000003,2390.06,1840.34
4soft-k5-02c-70uv,K5-02C-70UV,3D Caterpillar - 3 (SET with numbers 1-10) - UV colours,3D,K-3D animals,each,3084.0,2467.2,0.0,flat_uplift,151671.24,151671.24,0.589,,270480.38,7601.65,6533.76,9719.11,33408.81163200001,12886.26,9922.42
4soft-k5-02d-70uv,K5-02D-70UV,3D Caterpillar (SET without numbers 7 pcs) - UV colours,3D,K-3D animals,each,1858.0,1486.4,0.0,flat_uplift,92011.97,91376.51,0.6,floored,164088.01,4611.57,3963.73,5896.14,20127.617384000012,7763.51,5977.9
