handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-k5-03a-57uv,K5-03A-57UV,3D Butterfly - 2D wings,3D,K-3D animals,each,2077.0,1765.45,0.27,dims_scaled,109339.83,108952.02,0.6,floored,194989.36,5480.22,4707.87,6997.2,6087.15,7510.79,5783.31
4soft-k5-04a-52uv,K5-04A-52UV,3D Bee,3D,K-3D animals,each,1373.0,1167.05,0.0936,dims_scaled,76735.7,76735.7,0.6987,,136845.33,3846.07,3304.02,4910.7,2110.21,4773.64,3675.7
4soft-l1-01a-05,L1-01A-05,3D Stone (brown) with number 1 (beige),3D,L-3D nature,each,147.0,124.95,0.0059,dims_scaled,16928.06,26456.16,2.5,capped,30188.37,848.45,728.87,1083.31,133.02,501.8,386.38
4soft-l1-01b-05,L1-01B-05,3D Stone (brown) with number 2 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01c-05,L1-01C-05,3D Stone (brown) with number 3 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01d-05,L1-01D-05,3D Stone (brown) with number 4 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01e-05,L1-01E-05,3D Stone (brown) with number 5 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01f-05,L1-01F-05,3D Stone (brown) with number 6 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01g-05,L1-01G-05,3D Stone (brown) with number 7 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01h-05,L1-01H-05,3D Stone (brown) with number 8 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
