code,name,list_eur,section,dimension,product_group,unit
M1-02B-01,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - red",486.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-03,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - earth yellow",486.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-06,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - capri blue",486.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-09,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - rose",486.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-50UV,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - UV colours",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-52UV,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - UV yellow",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-53UV,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - UV may green",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-56UV,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - UV teal",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-57UV,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - UV rainbow blue",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02B-59UV,"3D EPDM Seater with smile - dia. 40 cm, h. 40 cm - UV orange",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-00,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - standard colours",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-01,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - red",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-03,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - earth yellow",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-06,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - capri blue",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-09,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - rose",531.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-50UV,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - UV colours",584.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-52UV,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - UV yellow",584.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-53UV,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - UV may green",584.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-56UV,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - UV teal",584.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-57UV,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - UV rainbow blue",584.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02C-59UV,"3D EPDM Seater with smile - dia. 40 cm, h. 50 cm - UV orange",584.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02X-00,"3D EPDM Seater with graphics - dia. 40 cm, h. 50 cm - standard colours",572.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02X-50UV,"3D EPDM Seater with graphics - dia. 40 cm, h. 50 cm - UV colours",627.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02Y-00,"3D EPDM Seater with graphics - dia. 40 cm, h. 40 cm - standard colours",504.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02Y-50UV,"3D EPDM Seater with graphics - dia. 40 cm, h. 40 cm - UV colours",554.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02Z-00,"3D EPDM Seater with graphics - dia. 40 cm, h. 30 cm - standard colours",474.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-02Z-50UV,"3D EPDM Seater with graphics - dia. 40 cm, h. 30 cm - UV colours",508.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-03A-01,3D Winners Podium,1709.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04A-00,"EPDM Seater - dia. 30 cm, h. 30 cm - standard colours",312.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04A-04,"EPDM Seater - dia. 30 cm, h. 30 cm - signal green",312.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04A-50UV,"EPDM Seater - dia. 30 cm, h. 30 cm - UV colours",339.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04B-00,"EPDM Seater - dia. 30 cm, h. 40 cm - standard colours",342.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04B-01,"EPDM Seater - dia. 30 cm, h. 40 cm - red",342.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04B-50UV,"EPDM Seater - dia. 30 cm, h. 40 cm - UV colours",367.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04C-00,"EPDM Seater - dia. 30 cm, h. 50 cm - standard colours",394.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M1-04C-50UV,"EPDM Seater - dia. 30 cm, h. 50 cm - UV colours",448.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-01A-00,3D CUBE - 1 colour - standard colours,515.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-01A-01,3D CUBE - red,515.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-01A-50UV,3D CUBE - 1 colour - UV colours,595.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-01A-51UV,3D CUBE - sky blue,595.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-01A-53UV,3D CUBE - may green,595.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-01B-50UV,3D CUBE - COLOURS (each side with different colour),666.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-02A-00,3D CUBE with Graphics (1 side) - standard colours,610.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-02A-50UV,3D CUBE with Graphics (1 side) - UV colours,686.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-03A-20,3D CUBE with Graphics (5 sides),809.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-03A-21,3D CUBE - workout (5 sides),809.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-03A-57UV,3D CUBE with graphics-animals - UV rainbow blue,897.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
