row,sku,description,family,family_discount,group,parent_handle,parent_title,sub_product_handle,sub_product_title,size_slug,size_label,options_flat,variant_sku,variant_title,recommended_nok,net_nok,unmapped,error
75,BB316W LF,BalanceBuddy Wave™ | Balance beam loose fills,"Zig-Zag balance beam, with shock absorbing natural rubber padding",0.3,A-equipment,rampline-balancebuddy-wave,Balancebuddy Wave,rampline-balancebuddy-wave,Balancebuddy Wave,,,Surface=loose_fills:Loose fills,BB316W LF,Loose fills,35329.0,24730.3,,
82,F3 1002,Fungi™ 3 | Climbing mushroom with 3 stems,Climbing mushrooms,0.3,A-equipment,rampline-fungi-eng,Fungi,rampline-fungi-eng,Fungi,,,Size=3_stems_wp:3 stems (wet pour),F3 1002,3 stems (wet pour),28455.0,19918.5,,
83,F5 1002,Fungi™ 5 | Climbing mushroom with 5 stems,Climbing mushrooms,0.3,A-equipment,rampline-fungi-eng,Fungi,rampline-fungi-eng,Fungi,,,Size=5_stems_wp:5 stems (wet pour),F5 1002,5 stems (wet pour),35108.0,24575.6,,
84,F5 EXT 1002,Fungi™ 5 extended | Climbing mushroom with 5 stems for grass and loose fills,Climbing mushrooms,0.3,A-equipment,rampline-fungi-eng,Fungi,rampline-fungi-eng,Fungi,,,Size=5_stems_lf:5 stems (loose fills),F5 EXT 1002,5 stems (loose fills),38286.0,26800.2,,
91,4551 9001,Rampit Twin™ 200 | Height installed in wet pour surfaces or artificial grass: 200 cm,"Fully welded, and powdercoated gim barr",0.3,A-equipment,rampline-rampit-swing,Rampit TWIN,rampline-rampit-swing,Rampit TWIN,,,Size=200cm:200 cm,4551 9001,200 cm,33356.0,23349.2,,
92,4551 EXT,Rampit Twin™ 220 | Height installed in wet pour surfaces/artificial grass: 220 cm - loose fills: 200 cm,"Fully welded, and powdercoated gim barr",0.3,A-equipment,rampline-rampit-swing,Rampit TWIN,rampline-rampit-swing,Rampit TWIN,,,Size=220cm:220 cm,4551 EXT,220 cm,35079.0,24555.3,,
99,4552 6011,Rampit™ 85 | Height installed in wet pour surfaces/artificial grass: 85 cm,"Fully welded, and powdercoated activity rack",0.3,A-equipment,rampline-rampit,Rampit,rampline-rampit,Rampit,,,Size=85cm:85 cm,4552 6011,85 cm,21891.0,15323.7,,
100,4553 6011,Rampit™ 120 | Height installed in wet pour surfaces/artificial grass: 120 cm - grass/loose fills: 95 cm,"Fully welded, and powdercoated activity rack",0.3,A-equipment,rampline-rampit,Rampit,rampline-rampit,Rampit,,,Size=120cm:120 cm,4553 6011,120 cm,24118.0,16882.6,,
101,4554 9001,Rampit™ 150 | Height installed in wet pour surfaces/artificial grass: 150 cm - loose fills: 126 cm,"Fully welded, and powdercoated activity rack",0.3,A-equipment,rampline-rampit,Rampit,rampline-rampit,Rampit,,,Size=150cm:150 cm,4554 9001,150 cm,25396.0,17777.2,,
108,4562 1002 E,Rampit Hopper™ activity bars - RAL 1002 Sand Yellow (STD),"Fully welded, and powdercoated activity bars and turning pads",0.3,A-equipment,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,,Component=activity_bars:Activity bars|Surface=wet_pour:Wet pour,4562 1002 E,Activity bars / Wet pour,46631.0,32641.7,,
