handle,item_code,article_number,floored,exw_eur,old_landed_thb,new_landed_thb,old_retail_thb,new_retail_thb,thb_delta_pct,old_retail_usd,new_retail_usd,old_retail_eur,new_retail_eur,old_retail_sgd,new_retail_sgd
eurotramp-single-tile-impact-protection-kids-tramp-cornerpiece-e97406,E97406,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-centrepiece-e97308,E97308,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-centrepiece-e97408,E97408,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-cornerpiece-e97307,E97307,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-cornerpiece-e97407,E97407,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-xl-centrepiece-left-e97310,E97310,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-xl-centrepiece-left-e97410,E97410,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-xl-centrepiece-right-e97311,E97311,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-xl-centrepiece-right-e97411,E97411,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-xl-cornerpiece-e97309,E97309,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-loop-xl-cornerpiece-e97409,E97409,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97006,E97006,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97008,E97008,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97012,E97012,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97013,E97013,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97056,E97056,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97058,E97058,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-centrepiece-e97059,E97059,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-cornerpiece-e97005,E97005,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-cornerpiece-e97007,E97007,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-cornerpiece-e97055,E97055,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-track-cornerpiece-e97057,E97057,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-xl-centrepiece-e97301,E97301,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-xl-centrepiece-e97304,E97304,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-xl-centrepiece-e97401,E97401,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-single-tile-impact-protection-kids-tramp-xl-centrepiece-e97404,E97404,,False,49.49,3201.15,3074.95,4161.49,5061.85,21.6,125.93,143.15,107.29,121.96,160.22,182.13
eurotramp-somersault-belt-twisting-belt,ET-35000,35000,False,378.83,21093.28,23537.79,27421.27,38746.82,41.3,829.76,1095.77,706.96,933.59,1055.72,1394.16
eurotramp-steel-spring-145x20mm-e31120,E31120,,True,3.43,698.84,213.12,908.49,908.49,0.0,27.49,27.49,23.42,23.42,34.98,34.98
eurotramp-top-sheet-for-bouncecloud-e21030,E21030,,False,691.18,38062.38,42944.99,49481.09,70694.05,42.9,1497.29,1999.24,1275.69,1703.35,1905.02,2543.67
eurotramp-top-sheet-for-bouncecloud-e21031,E21031,,False,691.18,38062.38,42944.99,49481.09,70694.05,42.9,1497.29,1999.24,1275.69,1703.35,1905.02,2543.67
eurotramp-top-sheet-for-bouncecloud-e21032,E21032,,False,691.18,38062.38,42944.99,49481.09,70694.05,42.9,1497.29,1999.24,1275.69,1703.35,1905.02,2543.67
eurotramp-torsion-spring-left-bouncecloud-e31195,E31195,,True,1.08,571.17,67.1,742.52,742.52,0.0,22.47,22.47,19.14,19.14,28.59,28.59
eurotramp-torsion-spring-right-bouncecloud-e31194,E31194,,True,1.08,571.17,67.1,742.52,742.52,0.0,22.47,22.47,19.14,19.14,28.59,28.59
eurotramp-trampoline-set-one-field,ET-98001K,98001K,False,6088.25,331270.18,378280.34,430651.23,622707.64,44.6,13031.4,17610.26,11102.78,15003.98,16580.09,22405.86
eurotramp-trampoline-set-stationary,ET-98001K-eurotramp-trampoline-set-stationary,98001K,False,6088.25,331270.18,378280.34,430651.23,622707.64,44.6,13031.4,17610.26,11102.78,15003.98,16580.09,22405.86
eurotramp-transport-case-hdts,ET-HDTS003,HDTS003,False,513.42,28405.17,31900.25,36926.73,52512.72,42.2,1117.39,1485.07,952.02,1265.28,1421.68,1889.48
eurotramp-ultimate,ET-03000,03000,False,7114.05,386999.04,442016.22,503098.75,727626.71,44.6,15223.64,20577.39,12970.57,17531.97,19369.32,26180.99
eurotramp-ultimate-dmt-6x6,ET-23200,23200,False,4090.68,222747.76,254165.62,289572.09,418395.71,44.5,8762.38,11832.29,7465.56,10081.13,11148.54,15054.44
eurotramp-ultimate-freestyle,ET-43113,43113,False,6834.45,371809.14,424643.88,483351.88,699029.15,44.6,14626.11,19768.64,12461.47,16842.92,18609.07,25152.01
eurotramp-wehrfritz-fun-round,ET-94700,,False,3416.91,186143.72,212302.37,241986.83,349482.36,44.4,7322.46,9883.41,6238.75,8420.69,9316.5,12574.85
eurotramp-wehrfritz-fun-round-kindergarten-94750,94750,,False,2933.3,159870.52,182254.3,207831.68,300018.61,44.4,6288.93,8484.57,5358.19,7228.87,8001.53,10795.07
eurotramp-wehrfritz-fun-xl-kindergarten,ET-94500,,False,2243.7,122406.48,139407.48,159128.42,229486.16,44.2,4815.19,6489.9,4102.55,5529.41,6126.45,8257.22
eurotramp-wehrfritz-fun-xl-playground,ET-97610,,False,2956.16,161112.45,183674.65,209446.19,302356.74,44.4,6337.79,8550.69,5399.81,7285.21,8063.69,10879.2
