handle,item_code,name,page,list_eur,remarks,status
berliner-91-200-022,91.200.022,PentaBoo M,93,48005.0,,active
berliner-91-200-033,91.200.033,PentaBoo L,,48849.0,,active
berliner-90-293-006,90.293.006,Greenville Combi.06,94,108789.0,,active
berliner-90-293-002,90.293.002,Greenville Combi.02,95,63012.0,,active
berliner-90-293-003,90.293.003,Greenville Combi.03,95,47318.0,,active
berliner-90-293-795,90.293.795,Greenville Combi.795,96,267865.0,,active
berliner-90-293-793,90.293.793,Greenville Combi.793,97,115560.0,,active
berliner-90-293-045,90.293.045,Greenville Combi.045,97,36155.0,,active
berliner-90-293-700,90.293.700,Greenville Combi.700,98,141847.0,Price with stainless steel slide and Fast Lane Slide,active
berliner-90-293-024,90.293.024,Greenville Combi.024,99,62294.0,,active
berliner-90-293-444,90.293.444,Greenville Combi.444,100,296198.0,,active
berliner-90-224-100-2,90.224.100.2,Woodville Combi.02,107,44489.0,,active
berliner-90-224-100-3,90.224.100.3,Woodville Combi.03,108,58411.0,,active
berliner-90-224-103-3,90.224.103.3,Woodville Combi.033,109,44053.0,,active
berliner-90-224-100-4,90.224.100.4,Woodville Combi.04,110,37535.0,,active
berliner-90-224-100-5,90.224.100.5,Woodville Combi.05,111,44469.0,Price with stainless steel slide,active
berliner-90-224-010-1,90.224.010.1,Shack1.01,112,19786.0,,active
berliner-90-224-030-100-02,90.224.030.100.02,Shack3.02,112,16920.0,,active
berliner-90-224-020-1,90.224.020.1,Shack2.01,113,24057.0,,active
berliner-90-224-040-100-02,90.224.040.100.02,Shack4.02,113,18019.0,,active
berliner-access-net-shack1,,Access Net Shack1,114,943.0,,name_only_active
berliner-access-net-shack2,,Access Net Shack2,114,1121.0,,name_only_active
berliner-rope-ladder-shack1,,Rope Ladder Shack1,114,470.0,,name_only_active
berliner-rope-ladder-shack2,,Rope Ladder Shack2,114,565.0,,name_only_active
berliner-climbing-rope-shack1,,Climbing Rope Shack1,114,251.0,,name_only_active
berliner-climbing-rope-shack2,,Climbing Rope Shack2,114,317.0,,name_only_active
berliner-access-bridge,,Access Bridge,114,,Price depends on individual project,name_only_on_request
berliner-banister-shack1,,Banister Shack1,114,2570.0,,name_only_active
berliner-banister-shack2,,Banister Shack2,114,3353.0,,name_only_active
berliner-rocking-plates-shack1,,Rocking Plates Shack1,114,224.0,,name_only_active
berliner-rocking-plates-shack2,,Rocking Plates Shack2,114,280.0,,name_only_active
berliner-ramp-shack1,,Ramp Shack1,114,3745.0,,name_only_active
berliner-ramp-shack2,,Ramp Shack2,114,5282.0,,name_only_active
berliner-panel-bridge,,Panel Bridge,114,1563.0,Length 3 m,name_only_active
berliner-suspension-bridge-2,,Suspension Bridge,114,3234.0,Length 3 m,name_only_active
berliner-suspension-net,,Suspension Net,114,713.0,,name_only_active
berliner-transfer-station,,Transfer Station,114,6893.0,,name_only_active
berliner-sand-table,,Sand Table,114,658.0,,name_only_active
berliner-sliding-pole-shack1,,Sliding Pole Shack1,114,596.0,,name_only_active
berliner-sliding-pole-shack2,,Sliding Pole Shack2,114,671.0,,name_only_active
berliner-straight-box-slide,,Straight Box Slide,114,5981.0,"Attachment height approx. 1,5 m",name_only_active
berliner-curved-concave-slide,,Curved Concave Slide,114,11536.0,"Attachment height approx. 1,9 m",name_only_active
berliner-window,,Window,134,862.0,,name_only_active
berliner-sand-crane,,Sand Crane,134,608.0,,name_only_active
berliner-slide,,Slide,134,2014.0,For Spoo M & Roo M,name_only_active
berliner-fast-lane-slide-2,,Fast Lane Slide,134,4589.0,For Spoo M & Roo M,name_only_active
berliner-small-sand-workshop,,Small Sand Workshop,134,1829.0,,name_only_active
berliner-small-ramp,,Small Ramp,134,1037.0,,name_only_active
berliner-track-the-mouse,,Track the Mouse,134,556.0,,name_only_active
berliner-counter,,Counter,134,800.0,,name_only_active
berliner-tic-tac-toe,,Tic-Tac-Toe,134,763.0,,name_only_active
berliner-90-139-005,90.139.005,Lunia XL,142,264761.0,Price with wide-meshed railing net,active
berliner-90-137-005,90.137.005,Lunia L,143,207747.0,Price with wide-meshed railing net,active
berliner-90-135-005,90.135.005,Lunia M,143,183307.0,Price with wide-meshed railing net,active
berliner-lunia-xl-small-meshed-net-in-basket,,Lunia XL small-meshed net in basket,,12656.0,Extra charges,name_only_active
berliner-lunia-l-small-meshed-net-in-basket,,Lunia L small-meshed net in basket,,5696.0,Extra charges,name_only_active
berliner-lunia-m-small-meshed-net-in-basket,,Lunia M small-meshed net in basket,,3797.0,Extra charges,name_only_active
berliner-lunia-xl-basket-not-climbable,,Lunia XL basket not climbable,,3647.0,"Extra charges
Only viable with small-meshed net",name_only_active
berliner-lunia-l-basket-not-climbable,,Lunia L basket not climbable,,2819.0,,name_only_active
berliner-lunia-m-basket-not-climbable,,Lunia M basket not climbable,,2320.0,,name_only_active
berliner-lunia-xl-individual-printed-membrane,,Lunia XL individual printed membrane,,7594.0,Extra charges,name_only_active
berliner-lunia-l-individual-printed-membrane,,Lunia L individual printed membrane,,6328.0,Extra charges,name_only_active
berliner-lunia-m-individual-printed-membrane,,Lunia M individual printed membrane,,5062.0,Extra charges,name_only_active
berliner-sliding-pole-dna-l,,Sliding Pole DNA L,145,671.0,,name_only_active
berliner-sliding-pole-dna-xl,,Sliding Pole DNA XL,145,807.0,,name_only_active
berliner-duck-jibe-dna-l,,Duck Jibe DNA L,145,6717.0,,name_only_active
berliner-duck-jibe-dna-xl,,Duck Jibe DNA XL,145,9291.0,,name_only_active
berliner-tube-slide-4th-level-dna-l,,Tube Slide 4th level DNA L,145,28041.0,,name_only_active
berliner-tube-slide-4th-level-dna-xl,,Tube Slide 4th level DNA XL,145,32966.0,,name_only_active
berliner-tube-slide-3rd-level-dna-l,,Tube Slide 3rd level DNA L,145,23119.0,,name_only_active
berliner-tube-slide-3rd-level-dna-xl,,Tube Slide 3rd level DNA XL,145,28041.0,,name_only_active
berliner-access-net-dna-l,,Access Net DNA L,145,2412.0,,name_only_active
berliner-access-net-dna-xl,,Access Net DNA XL,145,2898.0,,name_only_active
berliner-fast-lane-slide-dna-l,,Fast Lane Slide DNA L,145,5743.0,"Attachment height approx. 1,5 m",name_only_active
berliner-fast-lane-slide-dna-xl,,Fast Lane Slide DNA XL,145,7084.0,Attachment height approx. 2 m,name_only_active
berliner-banister-dna-l,,Banister DNA L,145,2570.0,,name_only_active
berliner-banister-dna-xl,,Banister DNA XL,145,3353.0,,name_only_active
berliner-suspension-bridge-dna-l,,Suspension Bridge DNA L,145,3234.0,Length 3 m,name_only_active
berliner-suspension-bridge-dna-xl,,Suspension Bridge DNA XL,145,3882.0,Length 3 m,name_only_active
berliner-net-tunnel-dna-l,,Net Tunnel DNA L,145,14717.0,Length 3 m,name_only_active
berliner-net-tunnel-dna-xl,,Net Tunnel DNA XL,145,19133.0,Length 3 m,name_only_active
berliner-90-295-012,90.295.012,DNA Tower L.02,146,32966.0,,active
berliner-90-293-463,90.293.463,DNA Tower L.03.02,146,64826.0,,active
berliner-90-295-064,90.295.064,DNA Tower L.03.01,147,56281.0,,active
berliner-90-295-013,90.295.013,DNA Tower L.03,,52368.0,,active
berliner-90-295-014,90.295.014,DNA Tower L.04,147,66344.0,,active
berliner-90-295-025,90.295.025,DNA Tower XL.03,148,77681.0,,active
