sku,sku_token,name,fob_usd,unit,pack_qty,carton_cbm,per_unit_cbm,freight_thb,duty_thb,import_vat_thb,landed_thb,retail_thb,retail_usd,retail_sgd,method
KP2003.1,KP2003,ROTATION BOARD WITH HANDLES,33.0,PC,6.0,0.16,0.026667,146.67,125.5,96.63,1477.12,3161.03,88.84,113.43,cbm_lcl
KP2004-00C,KP2004,WEPLAY ROCKING BOWL (CLEAR),82.5,PC,5.0,0.35,0.07,385.0,315.58,243.0,3714.37,7948.76,223.4,285.24,cbm_lcl
KP2005,KP2005,WEPLAY ROCKY HILL,71.5,PC,1.0,0.15,0.15,825.0,322.64,248.43,3797.42,8126.49,228.4,291.62,cbm_lcl
KP2006,KP2006,WEPLAY ROCKING LEAF BOAT,57.2,SET,1.0,0.09,0.09,495.0,241.61,186.04,2843.73,6085.59,171.04,218.38,cbm_lcl
KP4001.1,KP4001,GO GO BALANCE FUN (CIRCLE),261.8,SET,1.0,0.14,0.14,770.0,956.27,736.33,11255.26,24086.25,676.95,864.34,cbm_lcl
KP4002,KP4002,WEPLAY BALANCE ARCH (CIRCLE),353.1,SET,1.0,0.11,0.11,605.0,1246.4,959.73,14670.15,31394.11,882.34,1126.58,cbm_lcl
KP4005,KP4005,WEPLAY BALANCE ROCKING ICE,62.92,SET,1.0,0.08,0.08,440.0,255.32,196.6,3005.11,6430.94,180.74,230.77,cbm_lcl
KP4006,KP4006,WEPLAY BUTTERFLY PATH,140.8,SET,1.0,0.08,0.08,440.0,516.88,398.0,6083.71,13019.14,365.91,467.19,cbm_lcl
KP4007,KP4007,WEPLAY BOUNCING FLOWERS,63.8,SET,4.0,0.11,0.0275,151.25,229.4,176.64,2700.04,5778.08,162.39,207.35,cbm_lcl
KP5001,KP5001,WEPLAY JUNGLE TRIAL,107.08,SET,1.0,0.13,0.13,715.0,431.13,331.97,5074.43,10859.29,305.2,389.69,cbm_lcl
KP5002,KP5002,WEPLAY NESTING BALANCE PATH,107.08,SET,1.0,0.12,0.12,660.0,425.63,327.74,5009.7,10720.75,301.31,384.71,cbm_lcl
KP5003,KP5003,WEPLAY HELIX BALANCE PATH,79.75,SET,1.0,0.13,0.13,715.0,339.34,261.29,3994.08,8547.32,240.22,306.72,cbm_lcl
KP6106,KP6106,WEPLAY UP ON TOP,22.98,SET,8.0,0.07,0.00875,48.13,81.99,63.13,965.04,2065.19,58.04,74.11,cbm_lcl
KP6202.1,KP6202,TWIN WALKER,178.2,PC,1.0,0.14,0.14,770.0,675.49,520.13,7950.54,17014.17,478.19,610.55,cbm_lcl
KP6204,KP6204,WEPLAY PEDAL WALKER,67.1,PC,4.0,0.14,0.035,192.5,244.61,188.35,2879.04,6161.14,173.16,221.09,cbm_lcl
KP6205,KP6205,WEPLAY TAXI ROLLER,98.57,PC,1.0,0.05,0.05,275.0,358.55,276.08,4220.15,9031.13,253.82,324.08,cbm_lcl
KT0001.1,KT0001,STEPPING STONES (3 PAIRS),25.3,SET,6.0,0.08,0.013333,73.33,92.3,71.07,1086.42,2324.95,65.34,83.43,cbm_lcl
KT0002.1-020,KT0002,TACTILE PATH + SQUARE,121.55,SET,1.0,0.09,0.09,495.0,457.73,352.45,5387.49,11529.23,324.03,413.73,cbm_lcl
KT0003.1,KT0003,TACTILE PATH (16 PCS),118.8,SET,1.0,0.09,0.09,495.0,448.49,345.34,5278.78,11296.6,317.49,405.38,cbm_lcl
KT0004.1,KT0004,TACTILE STRAIGHT PATH,55.55,SET,1.0,0.04,0.04,220.0,208.57,160.6,2454.83,5253.35,147.65,188.52,cbm_lcl
KT0005.1,KT0005,TACTILE CURVE PATH,64.13,SET,1.0,0.05,0.05,275.0,242.88,187.02,2858.74,6117.7,171.94,219.53,cbm_lcl
KT0006.1,KT0006,RUNGS WAY,129.8,SET,1.0,0.07,0.07,385.0,474.44,365.32,5584.15,11950.07,335.86,428.83,cbm_lcl
KT0008,KT0008,RAINBOW RIVER STONES,74.8,SET,4.0,0.17,0.0425,233.75,274.59,211.44,3231.97,6916.42,194.39,248.2,cbm_lcl
